,car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarCompany
0,1,3,alfa-romero giulia,1,1,2,1,rwd,front,88.6,168.8,64.1,48.8,2548,1,4,130,1,3.47,2.68,9.0,111,5000,21,27,13495.0,1
1,2,3,alfa-romero stelvio,1,1,2,1,rwd,front,88.6,168.8,64.1,48.8,2548,1,4,130,1,3.47,2.68,9.0,111,5000,21,27,16500.0,1
2,3,1,alfa-romero Quadrifoglio,1,1,2,2,rwd,front,94.5,171.2,65.5,52.4,2823,2,6,152,1,2.68,3.47,9.0,154,5000,19,26,16500.0,1
3,4,2,audi 100 ls,1,1,4,3,fwd,front,99.8,176.6,66.2,54.3,2337,3,4,109,1,3.19,3.4,10.0,102,5500,24,30,13950.0,2
4,5,2,audi 100ls,1,1,4,3,4wd,front,99.4,176.6,66.4,54.3,2824,3,5,136,1,3.19,3.4,8.0,115,5500,18,22,17450.0,2
5,6,2,audi fox,1,1,2,3,fwd,front,99.8,177.3,66.3,53.1,2507,3,5,136,1,3.19,3.4,8.5,110,5500,19,25,15250.0,2
6,7,1,audi 100ls,1,1,4,3,fwd,front,105.8,192.7,71.4,55.7,2844,3,5,136,1,3.19,3.4,8.5,110,5500,19,25,17710.0,2
7,8,1,audi 5000,1,1,4,4,fwd,front,105.8,192.7,71.4,55.7,2954,3,5,136,1,3.19,3.4,8.5,110,5500,19,25,18920.0,2
8,9,1,audi 4000,1,2,4,3,fwd,front,105.8,192.7,71.4,55.9,3086,3,5,131,1,3.13,3.4,8.3,140,5500,17,20,23875.0,2
9,10,0,audi 5000s (diesel),1,2,2,2,4wd,front,99.5,178.2,67.9,52.0,3053,3,5,131,1,3.13,3.4,7.0,160,5500,16,22,17859.167,2
10,11,2,bmw 320i,1,1,2,3,rwd,front,101.2,176.8,64.8,54.3,2395,3,4,108,1,3.5,2.8,8.8,101,5800,23,29,16430.0,3
11,12,0,bmw 320i,1,1,4,3,rwd,front,101.2,176.8,64.8,54.3,2395,3,4,108,1,3.5,2.8,8.8,101,5800,23,29,16925.0,3
12,13,0,bmw x1,1,1,2,3,rwd,front,101.2,176.8,64.8,54.3,2710,3,6,164,1,3.31,3.19,9.0,121,4250,21,28,20970.0,3
13,14,0,bmw x3,1,1,4,3,rwd,front,101.2,176.8,64.8,54.3,2765,3,6,164,1,3.31,3.19,9.0,121,4250,21,28,21105.0,3
14,15,1,bmw z4,1,1,4,3,rwd,front,103.5,189.0,66.9,55.7,3055,3,6,164,1,3.31,3.19,9.0,121,4250,20,25,24565.0,3
15,16,0,bmw x4,1,1,4,3,rwd,front,103.5,189.0,66.9,55.7,3230,3,6,209,1,3.62,3.39,8.0,182,5400,16,22,30760.0,3
16,17,0,bmw x5,1,1,2,3,rwd,front,103.5,193.8,67.9,53.7,3380,3,6,209,1,3.62,3.39,8.0,182,5400,16,22,41315.0,3
17,18,0,bmw x3,1,1,4,3,rwd,front,110.0,197.0,70.9,56.3,3505,3,6,209,1,3.62,3.39,8.0,182,5400,15,20,36880.0,3
18,19,2,chevrolet impala,1,1,2,2,fwd,front,88.4,141.1,60.3,53.2,1488,4,3,61,2,2.91,3.03,9.5,48,5100,47,53,5151.0,4
19,20,1,chevrolet monte carlo,1,1,2,2,fwd,front,94.5,155.9,63.6,52.0,1874,3,4,90,2,3.03,3.11,9.6,70,5400,38,43,6295.0,4
20,21,0,chevrolet vega 2300,1,1,4,3,fwd,front,94.5,158.8,63.6,52.0,1909,3,4,90,2,3.03,3.11,9.6,70,5400,38,43,6575.0,4
21,22,1,dodge rampage,1,1,2,2,fwd,front,93.7,157.3,63.8,50.8,1876,3,4,90,2,2.97,3.23,9.41,68,5500,37,41,5572.0,5
22,23,1,dodge challenger se,1,1,2,2,fwd,front,93.7,157.3,63.8,50.8,1876,3,4,90,2,2.97,3.23,9.4,68,5500,31,38,6377.0,5
23,24,1,dodge d200,1,2,2,2,fwd,front,93.7,157.3,63.8,50.8,2128,3,4,98,1,3.03,3.39,7.6,102,5500,24,30,7957.0,5
24,25,1,dodge monaco (sw),1,1,4,2,fwd,front,93.7,157.3,63.8,50.6,1967,3,4,90,2,2.97,3.23,9.4,68,5500,31,38,6229.0,5
25,26,1,dodge colt hardtop,1,1,4,3,fwd,front,93.7,157.3,63.8,50.6,1989,3,4,90,2,2.97,3.23,9.4,68,5500,31,38,6692.0,5
26,27,1,dodge colt (sw),1,1,4,3,fwd,front,93.7,157.3,63.8,50.6,1989,3,4,90,2,2.97,3.23,9.4,68,5500,31,38,7609.0,5
27,28,1,dodge coronet custom,1,2,2,3,fwd,front,93.7,157.3,63.8,50.6,2191,3,4,98,1,3.03,3.39,7.6,102,5500,24,30,8558.0,5
28,29,-1,dodge dart custom,1,1,4,4,fwd,front,103.3,174.6,64.6,59.8,2535,3,4,122,2,3.34,3.46,8.5,88,5000,24,30,8921.0,5
29,30,3,dodge coronet custom (sw),1,2,2,2,fwd,front,95.9,173.2,66.3,50.2,2811,3,4,156,3,3.6,3.9,7.0,145,5000,19,24,12964.0,5
30,31,2,honda civic,1,1,2,2,fwd,front,86.6,144.6,63.9,50.8,1713,3,4,92,4,2.91,3.41,9.6,58,4800,49,54,6479.0,6
31,32,2,honda civic cvcc,1,1,2,2,fwd,front,86.6,144.6,63.9,50.8,1819,3,4,92,4,2.91,3.41,9.2,76,6000,31,38,6855.0,6
32,33,1,honda civic,1,1,2,2,fwd,front,93.7,150.0,64.0,52.6,1837,3,4,79,4,2.91,3.07,10.1,60,5500,38,42,5399.0,6
33,34,1,honda accord cvcc,1,1,2,2,fwd,front,93.7,150.0,64.0,52.6,1940,3,4,92,4,2.91,3.41,9.2,76,6000,30,34,6529.0,6
34,35,1,honda civic cvcc,1,1,2,2,fwd,front,93.7,150.0,64.0,52.6,1956,3,4,92,4,2.91,3.41,9.2,76,6000,30,34,7129.0,6
35,36,0,honda accord lx,1,1,4,3,fwd,front,96.5,163.4,64.0,54.5,2010,3,4,92,4,2.91,3.41,9.2,76,6000,30,34,7295.0,6
36,37,0,honda civic 1500 gl,1,1,4,4,fwd,front,96.5,157.1,63.9,58.3,2024,3,4,92,4,2.92,3.41,9.2,76,6000,30,34,7295.0,6
37,38,0,honda accord,1,1,2,2,fwd,front,96.5,167.5,65.2,53.3,2236,3,4,110,4,3.15,3.58,9.0,86,5800,27,33,7895.0,6
38,39,0,honda civic 1300,1,1,2,2,fwd,front,96.5,167.5,65.2,53.3,2289,3,4,110,4,3.15,3.58,9.0,86,5800,27,33,9095.0,6
39,40,0,honda prelude,1,1,4,3,fwd,front,96.5,175.4,65.2,54.1,2304,3,4,110,4,3.15,3.58,9.0,86,5800,27,33,8845.0,6
40,41,0,honda accord,1,1,4,3,fwd,front,96.5,175.4,62.5,54.1,2372,3,4,110,4,3.15,3.58,9.0,86,5800,27,33,10295.0,6
41,42,0,honda civic,1,1,4,3,fwd,front,96.5,175.4,65.2,54.1,2465,3,4,110,1,3.15,3.58,9.0,101,5800,24,28,12945.0,6
42,43,1,honda civic (auto),1,1,2,3,fwd,front,96.5,169.1,66.0,51.0,2293,3,4,110,2,3.15,3.58,9.1,100,5500,25,31,10345.0,6
43,44,0,isuzu MU-X,1,1,4,3,rwd,front,94.3,170.7,61.8,53.5,2337,3,4,111,2,3.31,3.23,8.5,78,4800,24,29,6785.0,7
44,45,1,isuzu D-Max ,1,1,2,3,fwd,front,94.5,155.9,63.6,52.0,1874,3,4,90,2,3.03,3.11,9.6,70,5400,38,43,8916.5,7
45,46,0,isuzu D-Max V-Cross,1,1,4,3,fwd,front,94.5,155.9,63.6,52.0,1909,3,4,90,2,3.03,3.11,9.6,70,5400,38,43,8916.5,7
46,47,2,isuzu D-Max ,1,1,2,2,rwd,front,96.0,172.6,65.2,51.4,2734,3,4,119,5,3.43,3.23,9.2,90,5000,24,29,11048.0,7
47,48,0,jaguar xj,1,1,4,3,rwd,front,113.0,199.6,69.6,52.8,4066,1,6,258,1,3.63,4.17,8.1,176,4750,15,19,32250.0,8
48,49,0,jaguar xf,1,1,4,3,rwd,front,113.0,199.6,69.6,52.8,4066,1,6,258,1,3.63,4.17,8.1,176,4750,15,19,35550.0,8
49,50,0,jaguar xk,1,1,2,3,rwd,front,102.0,191.7,70.6,47.8,3950,2,12,326,1,3.54,2.76,11.5,262,5000,13,17,36000.0,8
50,51,1,maxda rx3,1,1,2,2,fwd,front,93.1,159.1,64.2,54.1,1890,3,4,91,2,3.03,3.15,9.0,68,5000,30,31,5195.0,9
51,52,1,maxda glc deluxe,1,1,2,2,fwd,front,93.1,159.1,64.2,54.1,1900,3,4,91,2,3.03,3.15,9.0,68,5000,31,38,6095.0,9
52,53,1,mazda rx2 coupe,1,1,2,2,fwd,front,93.1,159.1,64.2,54.1,1905,3,4,91,2,3.03,3.15,9.0,68,5000,31,38,6795.0,10
53,54,1,mazda rx-4,1,1,4,3,fwd,front,93.1,166.8,64.2,54.1,1945,3,4,91,2,3.03,3.15,9.0,68,5000,31,38,6695.0,10
54,55,1,mazda glc deluxe,1,1,4,3,fwd,front,93.1,166.8,64.2,54.1,1950,3,4,91,2,3.08,3.15,9.0,68,5000,31,38,7395.0,10
55,56,3,mazda 626,1,1,2,2,rwd,front,95.3,169.0,65.7,49.6,2380,5,2,70,6,3.33,3.255,9.4,101,6000,17,23,10945.0,10
56,57,3,mazda glc,1,1,2,2,rwd,front,95.3,169.0,65.7,49.6,2380,5,2,70,6,3.33,3.255,9.4,101,6000,17,23,11845.0,10
57,58,3,mazda rx-7 gs,1,1,2,2,rwd,front,95.3,169.0,65.7,49.6,2385,5,2,70,6,3.33,3.255,9.4,101,6000,17,23,13645.0,10
58,59,3,mazda glc 4,1,1,2,2,rwd,front,95.3,169.0,65.7,49.6,2500,5,2,80,1,3.33,3.255,9.4,135,6000,16,23,15645.0,10
59,60,1,mazda 626,1,1,2,2,fwd,front,98.8,177.8,66.5,53.7,2385,3,4,122,2,3.39,3.39,8.6,84,4800,26,32,8845.0,10
